Sample,mRNAsi
TCGA-BT-A20X-01A-11R-A16R-07,0.3935825667148258
TCGA-BT-A2LA-01A-11R-A18C-07,0.5478961303811835
TCGA-BT-A2LA-11A-11R-A18C-07,0.2938852490182222
TCGA-BT-A2LB-01A-11R-A18C-07,0.3276537343451289
TCGA-BT-A2LB-11A-11R-A18C-07,0.3113892334131959
TCGA-BT-A2LD-01A-12R-A20F-07,0.37965260606416523
TCGA-BT-A3PH-01A-11R-A220-07,0.42410084621783367
TCGA-BT-A3PJ-01A-21R-A220-07,0.4554114013265097
TCGA-BT-A3PK-01A-21R-A220-07,0.3460520158799373
TCGA-BT-A42C-01A-11R-A23N-07,0.46616504934755437
TCGA-BT-A42E-01A-11R-A23W-07,0.4378530783253193
TCGA-BT-A42F-01A-11R-A23W-07,0.505302033944038
TCGA-C4-A0EZ-01A-21R-A24X-07,0.5454462958666602
TCGA-C4-A0F0-01A-12R-A10U-07,0.5136454658772507
TCGA-C4-A0F1-01A-11R-A034-07,0.396499100319062
TCGA-C4-A0F6-01A-11R-A10U-07,0.39504445751457223
TCGA-C4-A0F7-01A-11R-A084-07,0.48635474608589874
TCGA-CF-A1HR-01A-11R-A13Y-07,0.4059493981103558
TCGA-CF-A1HS-01A-11R-A13Y-07,0.4943334946631629
TCGA-CF-A27C-01A-11R-A16R-07,0.4224545379372708
TCGA-CF-A3MF-01A-12R-A21D-07,0.37813723999379945
TCGA-CF-A3MG-01A-11R-A20F-07,0.45923294446992957
TCGA-CF-A3MH-01A-11R-A20F-07,0.3779878870216298
TCGA-CF-A3MI-01A-11R-A20F-07,0.4084374751845827
TCGA-CF-A47S-01A-11R-A23W-07,0.3665690507100506
TCGA-CF-A47T-01A-11R-A23W-07,0.45779827806801116
TCGA-CF-A47V-01A-11R-A23W-07,0.29251238428574594
TCGA-CF-A47W-01A-11R-A23W-07,0.43935131901403907
TCGA-CF-A47X-01A-31R-A23W-07,0.4302834958825476
TCGA-CF-A47Y-01A-11R-A23W-07,0.32282978848162264
TCGA-CF-A5U8-01A-11R-A28M-07,0.38188756410389657
TCGA-CF-A5UA-01A-11R-A28M-07,0.42861821568721786
TCGA-CF-A7I0-01A-22R-A352-07,0.31391746723875913
TCGA-CF-A8HX-01A-11R-A36F-07,0.3914490152649232
TCGA-CF-A8HY-01A-11R-A36F-07,0.4186881901441799
TCGA-CF-A9FF-01A-11R-A38B-07,0.358814697159842
TCGA-CF-A9FH-01A-11R-A38B-07,0.4287021365278935
TCGA-CF-A9FL-01A-11R-A38B-07,0.28291797912091643
TCGA-CF-A9FM-01A-11R-A38B-07,0.3430327790464042
TCGA-CU-A0YN-01A-21R-A10U-07,0.4183532572091865
TCGA-CU-A0YN-11A-11R-A10U-07,0.17604809365082677
TCGA-CU-A0YO-01A-11R-A10U-07,0.31653644678115156
TCGA-CU-A0YR-01A-12R-A10U-07,0.4817163491281577
TCGA-CU-A0YR-11A-13R-A10U-07,0.11366518215665747
TCGA-CU-A3KJ-01A-11R-A21D-07,0.38815985674202075
TCGA-CU-A3QU-01A-11R-A22U-07,0.5052775770488848
TCGA-CU-A3YL-01A-11R-A22U-07,0.34582205233156216
TCGA-CU-A5W6-01A-11R-A28M-07,0.42661146732530697
TCGA-CU-A72E-01A-12R-A33J-07,0.3253767999694633
TCGA-DK-A1A3-01A-11R-A13Y-07,0.37453703082383394
TCGA-DK-A1A5-01A-11R-A13Y-07,0.34985524504856674
TCGA-DK-A1A6-01A-11R-A13Y-07,0.5341902751007374
TCGA-DK-A1A7-01A-11R-A13Y-07,0.46856116804108194
TCGA-DK-A1AA-01A-11R-A13Y-07,0.34233975304161957
TCGA-DK-A1AB-01A-11R-A13Y-07,0.2651983166266308
TCGA-DK-A1AC-01A-11R-A13Y-07,0.5356112743934612
TCGA-DK-A1AD-01A-11R-A13Y-07,0.469534286245176
TCGA-DK-A1AE-01A-11R-A13Y-07,0.5480336575479562
TCGA-DK-A1AF-01A-11R-A13Y-07,0.22263801058113097
TCGA-DK-A1AG-01A-11R-A13Y-07,0.3754817166378733
TCGA-DK-A2HX-01A-12R-A18C-07,0.2093872043501278
TCGA-DK-A2I1-01A-11R-A180-07,0.34938272868568426
TCGA-DK-A2I2-01A-11R-A180-07,0.42373779054509236
TCGA-DK-A2I4-01A-11R-A21D-07,0.3302360121935195
TCGA-DK-A2I6-01A-12R-A18C-07,0.5000932225972428
TCGA-DK-A3IK-01A-32R-A21D-07,0.32285678167839305
TCGA-DK-A3IL-01A-11R-A20F-07,0.3931080535177503
TCGA-DK-A3IM-01A-11R-A20F-07,0.5693128157409394
TCGA-DK-A3IN-01A-11R-A20F-07,0.36456563423289345
TCGA-DK-A3IQ-01A-31R-A32Y-07,0.0584467594585395
TCGA-DK-A3IS-01A-21R-A21D-07,0.4669445480864847
TCGA-DK-A3IT-01A-31R-A20F-07,0.412335992090764
TCGA-DK-A3IU-01A-11R-A20F-07,0.284478651747185
TCGA-DK-A3IV-01A-22R-A21D-07,0.4911361262165053
TCGA-DK-A3WW-01A-22R-A23N-07,0.4706047483501932
TCGA-DK-A3WX-01A-22R-A22U-07,0.4436215154386144
TCGA-DK-A3WY-01A-11R-A22U-07,0.42357890413430915
TCGA-DK-A3X1-01A-12R-A22U-07,0.466085206173637
TCGA-DK-A3X2-01A-11R-A22U-07,0.5707221444662419
TCGA-DK-A6AV-01A-12R-A30C-07,0.47395238376559856
TCGA-DK-A6AW-01A-11R-A30C-07,0.325757805528503
TCGA-DK-A6B0-01A-11R-A31N-07,0.3938916601801944
TCGA-DK-A6B1-01A-12R-A30C-07,0.4135757286307418
TCGA-DK-A6B2-01A-11R-A30C-07,0.32826984582477753
TCGA-DK-A6B5-01A-11R-A31N-07,0.4121055932597316
TCGA-DK-A6B6-01A-11R-A30C-07,0.5045833741914857
TCGA-DK-AA6L-01A-11R-A39I-07,0.4183535611353346
TCGA-DK-AA6M-01A-11R-A39I-07,0.37843430895447405
TCGA-DK-AA6P-01A-11R-A39I-07,0.5137344575496484
TCGA-DK-AA6Q-01A-11R-A39I-07,0.47128689871445334
TCGA-DK-AA6R-01A-11R-A42T-07,0.463111411431842
TCGA-DK-AA6S-01A-21R-A39I-07,0.2595990463281362
TCGA-DK-AA6T-01A-11R-A39I-07,0.5996510903867629
TCGA-DK-AA6U-01A-11R-A39I-07,0.5162603334812931
TCGA-DK-AA6W-01A-12R-A39I-07,0.5726645243649325
TCGA-DK-AA6X-01A-12R-A42T-07,0.40072405867250865
TCGA-DK-AA71-01A-31R-A39I-07,0.45408103378299236
TCGA-DK-AA74-01A-11R-A39I-07,0.2895121925105682
TCGA-DK-AA75-01A-11R-A39I-07,0.575758563860447
TCGA-DK-AA76-01A-11R-A39I-07,0.5027823420219832
TCGA-DK-AA77-01A-11R-A39I-07,0.46165225478466104
TCGA-E5-A2PC-01A-11R-A206-07,0.4515960141936071
TCGA-E5-A4TZ-01A-11R-A31N-07,0.5369079821282677
TCGA-E5-A4U1-01A-11R-A31N-07,0.5230109055456966
TCGA-E7-A3X6-01A-12R-A22U-07,0.393888087810383
TCGA-E7-A3Y1-01A-11R-A22U-07,0.3615029289594468
TCGA-E7-A4IJ-01A-31R-A26T-07,0.4696070024804438
TCGA-E7-A4XJ-01A-11R-A26T-07,0.40738402847989597
TCGA-E7-A519-01A-11R-A26T-07,0.37144941733082554
